Age,Gender,Region,Educational_Background,Technical_Skills,Experience_Level,Preferred_Job_Role,Salary_Expectation,Application_Source,Application_Status,Interview_Score,Certifications_Count
,Male,Africa,Business,"R, Excel",5.0,Data Scientist,44340.36,Job Portal,Pending,,
40.0,Female,nan,Business,"Python, SQL",1.0,Data Scientist,69668.79,Campus Recruitment,Pending,43.0,5.0
,Female,Africa,Statistics,"Python, Tableau",3.0,Data Architect,65235.1,Referral,Accepted,53.0,
28.0,Non-Binary,Africa,Mathematics,"Python, SQL",3.0,Data Engineer,68656.79,LinkedIn,Rejected,47.0,1.0
22.0,nan,Africa,Engineering,"R, Excel",,ML Engineer,64897.87,Job Portal,Rejected,78.0,5.0
26.0,Male,Europe,Arts,"Excel, R",3.0,BI Analyst,53175.39,Company Website,Pending,78.0,2.0
32.0,Female,Africa,Arts,"Python, SQL",2.0,Data Architect,49260.79,nan,nan,78.0,0.0
35.0,Male,Oceania,Mathematics,nan,2.0,Data Engineer,57313.14,Company Website,Pending,83.0,
24.0,Prefer Not to Say,Africa,nan,"Python, SQL",0.0,BI Analyst,300000.0,Referral,Accepted,83.0,3.0
20.0,Prefer Not to Say,Europe,Mathematics,"Python, SQL",1.0,ML Engineer,57743.22,nan,nan,84.0,3.0
26.0,nan,South America,Computer Science,"R, Excel",3.0,Data Architect,85632.22,Campus Recruitment,Accepted,47.0,4.0
22.0,Female,Europe,Computer Science,"Python, Tableau",0.0,nan,54450.52,LinkedIn,nan,,0.0
35.0,Non-Binary,nan,Business,"Python, Tableau",10.0,BI Analyst,87776.77,Referral,nan,84.0,4.0
26.0,Female,nan,Engineering,"R, Excel",7.0,Data Architect,62266.29,Referral,nan,70.0,5.0
22.0,Male,Oceania,Engineering,"Python, SQL",0.0,BI Analyst,65379.53,nan,Rejected,49.0,5.0
30.0,Prefer Not to Say,Oceania,nan,"Python, SQL",7.0,BI Analyst,65509.47,LinkedIn,nan,66.0,0.0
30.0,Male,North America,Mathematics,"SQL, PowerBI",7.0,nan,78731.77,Job Portal,Rejected,68.0,0.0
,nan,Europe,Business,nan,1.0,Data Architect,73781.15,Company Website,Accepted,83.0,3.0
26.0,Prefer Not to Say,South America,Business,"Excel, R",2.0,Data Scientist,72087.57,Job Portal,nan,68.0,0.0
30.0,Non-Binary,North America,Computer Science,"Excel, R",,nan,68786.65,Campus Recruitment,nan,79.0,
22.0,Prefer Not to Say,North America,Arts,"Python, Tableau",1.0,ML Engineer,61459.09,LinkedIn,nan,47.0,0.0
,Female,Asia,nan,"R, Excel",0.0,Data Architect,86453.56,Job Portal,Accepted,83.0,1.0
22.0,Female,Africa,Engineering,"Python, SQL",7.0,Data Scientist,71289.41,Referral,Pending,49.0,0.0
,Prefer Not to Say,North America,nan,nan,1.0,Data Analyst,78612.6,Referral,Pending,47.0,3.0
26.0,nan,North America,Business,"Excel, R",2.0,Data Engineer,73002.0,Campus Recruitment,Accepted,62.0,3.0
35.0,Female,Oceania,Computer Science,"R, Excel",0.0,Data Architect,63676.42,Campus Recruitment,Accepted,71.0,3.0
32.0,Female,South America,Computer Science,"R, Excel",1.0,Data Scientist,105930.72,LinkedIn,Accepted,49.0,2.0
40.0,Non-Binary,North America,Computer Science,"Python, SQL",10.0,Data Architect,88452.1,Job Portal,Pending,83.0,
35.0,Prefer Not to Say,nan,nan,nan,10.0,Data Architect,61898.38,Referral,Rejected,68.0,4.0
28.0,Female,South America,Arts,"R, Excel",3.0,Data Architect,100788.53,LinkedIn,Accepted,83.0,0.0
22.0,nan,Africa,Business,"Excel, R",3.0,nan,83910.58,LinkedIn,Pending,83.0,2.0
28.0,Male,nan,Mathematics,"SQL, PowerBI",,BI Analyst,53605.35,Referral,Rejected,70.0,3.0
35.0,Prefer Not to Say,Oceania,Mathematics,"Excel, R",1.0,Data Analyst,83229.96,Job Portal,nan,83.0,3.0
,Non-Binary,nan,Computer Science,nan,1.0,ML Engineer,76242.58,Company Website,nan,68.0,3.0
40.0,Female,Asia,Computer Science,"SQL, PowerBI",7.0,ML Engineer,72483.61,Campus Recruitment,Accepted,70.0,0.0
40.0,nan,Asia,Arts,"R, Excel",10.0,Data Architect,85221.13,nan,Rejected,62.0,2.0
20.0,Prefer Not to Say,Africa,Computer Science,"Excel, R",7.0,Data Scientist,75112.65,Job Portal,Pending,84.0,2.0
40.0,nan,Africa,Statistics,"Python, SQL",2.0,nan,39852.18,Company Website,nan,91.0,1.0
32.0,nan,nan,Business,nan,0.0,Data Architect,49698.7,Company Website,nan,84.0,4.0
40.0,Non-Binary,Oceania,Computer Science,"R, Excel",1.0,BI Analyst,57166.49,Referral,Pending,47.0,3.0
35.0,Prefer Not to Say,Oceania,Computer Science,"Python, SQL",0.0,BI Analyst,99933.8,Company Website,nan,99.0,5.0
20.0,Female,Europe,Business,"SQL, PowerBI",3.0,Data Architect,79775.26,Campus Recruitment,nan,70.0,1.0
35.0,Non-Binary,North America,Engineering,"Python, Tableau",0.0,ML Engineer,78116.71,LinkedIn,Accepted,79.0,0.0
35.0,Female,North America,Statistics,"Python, Tableau",5.0,BI Analyst,71617.76,Job Portal,Rejected,78.0,1.0
24.0,Male,North America,Statistics,"SQL, PowerBI",10.0,Data Engineer,56176.68,nan,Rejected,43.0,3.0
20.0,nan,South America,Mathematics,"Python, Tableau",2.0,Data Scientist,48195.57,Campus Recruitment,Rejected,49.0,1.0
35.0,Male,Europe,Computer Science,nan,10.0,Data Scientist,84936.84,Company Website,Rejected,44.0,3.0
24.0,nan,nan,Business,"R, Excel",2.0,BI Analyst,94951.06,LinkedIn,Pending,68.0,1.0
24.0,Non-Binary,North America,Mathematics,"R, Excel",,ML Engineer,80163.1,LinkedIn,Rejected,83.0,3.0
20.0,Female,South America,nan,nan,0.0,nan,62637.74,Company Website,Accepted,66.0,2.0
28.0,Female,South America,nan,"Excel, R",,Data Architect,63865.25,Campus Recruitment,Pending,99.0,1.0
,Non-Binary,Asia,Arts,"R, Excel",,Data Engineer,80396.91,nan,Accepted,68.0,2.0
32.0,Prefer Not to Say,South America,nan,"Python, Tableau",2.0,Data Engineer,68251.65,Company Website,nan,83.0,4.0
,Male,Africa,nan,nan,0.0,Data Architect,67640.01,Job Portal,Rejected,66.0,
40.0,Male,Oceania,Engineering,"Python, SQL",0.0,nan,61922.4,LinkedIn,Rejected,,4.0
32.0,Female,South America,Computer Science,"Excel, R",3.0,Data Engineer,60049.88,Referral,Pending,49.0,4.0
40.0,Female,Africa,Engineering,"Python, SQL",10.0,Data Analyst,68195.07,LinkedIn,Rejected,83.0,1.0
35.0,Female,Africa,Computer Science,"Python, Tableau",,BI Analyst,46244.22,Company Website,Accepted,84.0,4.0
22.0,Non-Binary,Asia,Computer Science,"Python, SQL",0.0,Data Engineer,79289.65,nan,Pending,5.0,2.0
20.0,Prefer Not to Say,nan,Computer Science,"Python, Tableau",2.0,nan,41992.32,Company Website,Rejected,43.0,2.0
32.0,Male,Asia,Engineering,"R, Excel",,BI Analyst,85980.27,Referral,Accepted,84.0,5.0
32.0,nan,South America,Statistics,"Excel, R",5.0,ML Engineer,62084.67,Referral,nan,62.0,5.0
35.0,Non-Binary,Asia,Arts,"SQL, PowerBI",1.0,ML Engineer,68215.91,LinkedIn,Rejected,71.0,5.0
28.0,Male,Asia,Statistics,"Python, Tableau",2.0,Data Architect,78370.54,Company Website,Rejected,68.0,4.0
24.0,Prefer Not to Say,nan,Business,nan,5.0,ML Engineer,65681.32,LinkedIn,Rejected,78.0,4.0
35.0,Non-Binary,Oceania,Business,nan,2.0,Data Analyst,58923.67,Campus Recruitment,nan,68.0,0.0
30.0,Male,North America,nan,"R, Excel",5.0,ML Engineer,74296.52,Company Website,Rejected,53.0,0.0
24.0,Non-Binary,South America,Statistics,nan,2.0,BI Analyst,102974.88,nan,nan,70.0,1.0
20.0,Male,nan,Arts,"Python, SQL",1.0,Data Scientist,81817.04,LinkedIn,Accepted,70.0,0.0
24.0,Male,South America,nan,"R, Excel",,Data Scientist,58631.08,nan,Pending,53.0,2.0
28.0,Prefer Not to Say,South America,Arts,nan,3.0,BI Analyst,64719.65,Company Website,Accepted,79.0,2.0
24.0,nan,Asia,Computer Science,"Python, SQL",3.0,Data Scientist,62840.75,Company Website,Accepted,91.0,1.0
20.0,Prefer Not to Say,Oceania,Computer Science,"Python, SQL",1.0,Data Engineer,54525.5,Job Portal,Pending,70.0,1.0
28.0,Male,Asia,Business,"Python, SQL",2.0,Data Scientist,78997.86,LinkedIn,Pending,66.0,
,Non-Binary,Africa,Computer Science,nan,10.0,nan,65109.35,Company Website,Rejected,44.0,3.0
32.0,Prefer Not to Say,Europe,nan,"Python, SQL",5.0,Data Analyst,74766.42,Referral,nan,71.0,0.0
32.0,nan,Europe,Computer Science,"Excel, R",0.0,ML Engineer,30777.51,Referral,Rejected,68.0,3.0
40.0,Male,nan,Arts,nan,2.0,Data Scientist,80350.35,Job Portal,Accepted,49.0,4.0
,Prefer Not to Say,Europe,Engineering,"Python, SQL",1.0,Data Scientist,61119.93,Company Website,nan,68.0,5.0
,Prefer Not to Say,nan,Statistics,"Excel, R",7.0,nan,54921.13,LinkedIn,Rejected,99.0,5.0
24.0,Prefer Not to Say,North America,Mathematics,"SQL, PowerBI",3.0,Data Architect,49934.87,nan,Pending,43.0,2.0
32.0,Prefer Not to Say,Asia,Mathematics,"Excel, R",3.0,Data Analyst,56202.2,LinkedIn,Pending,83.0,
20.0,Non-Binary,Africa,Computer Science,nan,,Data Architect,63582.06,nan,Rejected,66.0,1.0
26.0,nan,Africa,Computer Science,nan,2.0,Data Analyst,83330.57,nan,nan,62.0,4.0
26.0,nan,Europe,Statistics,"Python, SQL",5.0,Data Scientist,63344.34,nan,Accepted,47.0,
28.0,Male,Oceania,Mathematics,nan,10.0,Data Engineer,84740.92,Referral,nan,,3.0
32.0,Female,North America,Arts,"SQL, PowerBI",10.0,Data Scientist,74382.28,Campus Recruitment,Rejected,91.0,4.0
32.0,Non-Binary,nan,Mathematics,"R, Excel",1.0,Data Engineer,97289.88,Company Website,Pending,71.0,4.0
26.0,Male,North America,Mathematics,"Excel, R",1.0,Data Architect,62486.15,Job Portal,Pending,44.0,1.0
32.0,Male,Europe,nan,"R, Excel",5.0,nan,76205.93,Job Portal,Accepted,79.0,0.0
24.0,Prefer Not to Say,nan,Mathematics,"SQL, PowerBI",5.0,ML Engineer,88732.21,nan,Pending,44.0,1.0
30.0,Female,nan,Computer Science,"Excel, R",10.0,BI Analyst,79455.17,Company Website,Accepted,81.0,1.0
22.0,Female,Europe,nan,"Python, SQL",2.0,ML Engineer,67445.68,Company Website,Accepted,83.0,0.0
,Non-Binary,Asia,Computer Science,"Excel, R",10.0,Data Scientist,62686.07,nan,nan,81.0,
40.0,Female,Oceania,Statistics,"Python, SQL",2.0,Data Scientist,40845.07,Job Portal,nan,84.0,0.0
28.0,Male,North America,Mathematics,"Python, Tableau",7.0,Data Engineer,66406.69,Job Portal,Rejected,71.0,1.0
30.0,Female,Africa,Computer Science,"Excel, R",3.0,Data Analyst,56163.52,LinkedIn,Rejected,71.0,0.0
26.0,Female,Europe,Statistics,"Excel, R",,Data Architect,61873.8,Job Portal,Accepted,91.0,2.0
,nan,Asia,Mathematics,"R, Excel",3.0,Data Architect,70775.02,nan,Rejected,,4.0
32.0,Male,Africa,Arts,"R, Excel",5.0,Data Architect,46583.51,Referral,Pending,71.0,4.0
40.0,Female,North America,Computer Science,"SQL, PowerBI",0.0,Data Engineer,55107.71,Job Portal,Accepted,,3.0
32.0,Female,Europe,Engineering,"Python, SQL",0.0,Data Analyst,75810.28,Job Portal,Accepted,71.0,1.0
20.0,Prefer Not to Say,nan,Statistics,nan,0.0,Data Analyst,51024.8,Referral,Rejected,71.0,4.0
20.0,Female,Oceania,Computer Science,"R, Excel",1.0,nan,69321.85,Referral,nan,,4.0
40.0,Female,Europe,Arts,"SQL, PowerBI",2.0,Data Analyst,48974.8,Company Website,Accepted,47.0,4.0
40.0,nan,Oceania,Arts,"Python, SQL",5.0,Data Analyst,77894.89,nan,Accepted,68.0,
26.0,Male,Asia,Computer Science,"Python, SQL",3.0,Data Scientist,79856.49,nan,nan,84.0,0.0
40.0,Non-Binary,Asia,Business,"Python, SQL",0.0,BI Analyst,88523.78,Job Portal,nan,70.0,0.0
24.0,Male,North America,Statistics,"Python, Tableau",3.0,Data Architect,250000.0,Referral,Accepted,47.0,4.0
32.0,Prefer Not to Say,Oceania,Mathematics,"Python, SQL",2.0,BI Analyst,74112.27,LinkedIn,Rejected,78.0,2.0
30.0,Male,Europe,Mathematics,"SQL, PowerBI",7.0,ML Engineer,43574.74,Campus Recruitment,Accepted,47.0,0.0
35.0,Female,Asia,Arts,"Python, SQL",7.0,ML Engineer,70031.35,Referral,Accepted,70.0,4.0
40.0,Prefer Not to Say,Europe,Computer Science,nan,5.0,ML Engineer,76868.77,Campus Recruitment,Accepted,44.0,3.0
28.0,Male,North America,Business,nan,0.0,Data Engineer,71813.97,Job Portal,Rejected,43.0,4.0
20.0,Prefer Not to Say,Oceania,Statistics,"Python, SQL",,ML Engineer,94941.32,LinkedIn,nan,49.0,
24.0,Non-Binary,Europe,Engineering,"SQL, PowerBI",0.0,Data Architect,89465.04,nan,Accepted,91.0,5.0
,Male,Africa,Mathematics,"Excel, R",7.0,nan,70393.05,LinkedIn,nan,70.0,5.0
35.0,Female,Europe,nan,"Python, SQL",5.0,ML Engineer,81186.7,nan,Accepted,44.0,1.0
30.0,Prefer Not to Say,South America,Statistics,"SQL, PowerBI",3.0,ML Engineer,48004.07,Company Website,Rejected,91.0,4.0
35.0,nan,South America,Statistics,"R, Excel",2.0,nan,72837.79,nan,Accepted,53.0,
40.0,Prefer Not to Say,nan,Business,"SQL, PowerBI",7.0,Data Scientist,51042.87,nan,Accepted,83.0,1.0
26.0,nan,North America,Statistics,"Python, Tableau",7.0,ML Engineer,67314.12,Company Website,nan,84.0,3.0
20.0,Female,North America,Mathematics,"R, Excel",2.0,nan,59818.98,Job Portal,Accepted,70.0,
20.0,Non-Binary,North America,Computer Science,nan,2.0,BI Analyst,60231.88,Referral,Accepted,49.0,3.0
,nan,Africa,Mathematics,nan,7.0,Data Scientist,57813.82,LinkedIn,Accepted,91.0,2.0
26.0,Non-Binary,Oceania,Engineering,"Excel, R",3.0,Data Analyst,63997.92,Job Portal,nan,68.0,4.0
32.0,Prefer Not to Say,Africa,Computer Science,"Excel, R",3.0,Data Engineer,61422.21,Job Portal,Pending,62.0,0.0
22.0,Female,nan,Arts,"SQL, PowerBI",0.0,Data Scientist,79499.61,nan,nan,43.0,2.0
24.0,nan,Europe,Business,"SQL, PowerBI",3.0,Data Scientist,66033.9,Referral,Accepted,53.0,5.0
20.0,Prefer Not to Say,Asia,Mathematics,"Python, SQL",1.0,BI Analyst,69316.25,LinkedIn,Pending,47.0,2.0
28.0,Male,Oceania,Computer Science,"Python, SQL",5.0,nan,74366.11,nan,nan,66.0,1.0
20.0,Prefer Not to Say,South America,Statistics,nan,3.0,Data Architect,74317.93,nan,nan,79.0,2.0
35.0,Non-Binary,South America,Computer Science,"Python, Tableau",2.0,Data Architect,53966.96,LinkedIn,Pending,66.0,5.0
20.0,Female,nan,Mathematics,"Python, SQL",3.0,ML Engineer,66035.16,LinkedIn,Pending,91.0,5.0
20.0,Female,South America,Arts,nan,0.0,Data Analyst,73558.67,Company Website,Pending,49.0,2.0
22.0,Prefer Not to Say,nan,Mathematics,"SQL, PowerBI",10.0,nan,56786.58,LinkedIn,Pending,53.0,
22.0,Male,Europe,Arts,"SQL, PowerBI",5.0,BI Analyst,55092.54,Campus Recruitment,Rejected,83.0,
30.0,Non-Binary,Europe,Statistics,"Python, SQL",5.0,nan,52402.56,nan,Rejected,43.0,2.0
32.0,Prefer Not to Say,North America,Mathematics,"Python, Tableau",2.0,nan,73030.37,Referral,Rejected,47.0,
28.0,Prefer Not to Say,Asia,Computer Science,nan,5.0,BI Analyst,65592.39,LinkedIn,Pending,62.0,5.0
20.0,Female,North America,Engineering,"SQL, PowerBI",1.0,Data Scientist,67729.78,Referral,Accepted,68.0,1.0
20.0,Non-Binary,Europe,Engineering,nan,5.0,Data Analyst,43297.43,Referral,Accepted,43.0,3.0
24.0,Male,Africa,Statistics,"Python, Tableau",7.0,nan,71063.69,Campus Recruitment,Accepted,84.0,2.0
22.0,Female,North America,nan,"SQL, PowerBI",2.0,BI Analyst,71808.82,LinkedIn,nan,70.0,3.0
28.0,Prefer Not to Say,Oceania,nan,nan,5.0,Data Architect,73951.5,Referral,Accepted,81.0,3.0
,Female,Europe,Computer Science,"Python, Tableau",3.0,Data Engineer,91632.16,nan,Rejected,,5.0
30.0,Female,Europe,Engineering,"Python, Tableau",0.0,nan,58604.39,LinkedIn,Pending,84.0,5.0
32.0,nan,Africa,Statistics,"Python, Tableau",7.0,Data Engineer,77316.31,Campus Recruitment,nan,62.0,5.0
26.0,Female,Africa,Arts,"Python, SQL",7.0,BI Analyst,75017.09,Company Website,Rejected,78.0,5.0
32.0,Female,Africa,Computer Science,"Excel, R",3.0,Data Scientist,76829.22,Company Website,Accepted,70.0,1.0
35.0,Non-Binary,Asia,nan,nan,10.0,nan,65343.74,Company Website,Pending,44.0,3.0
20.0,Female,Oceania,Arts,"Python, Tableau",7.0,Data Engineer,81452.51,Company Website,Accepted,43.0,5.0
30.0,Male,Europe,Computer Science,nan,1.0,Data Scientist,59059.68,Job Portal,Rejected,66.0,
35.0,Prefer Not to Say,Africa,Arts,"Python, Tableau",1.0,ML Engineer,62954.13,Referral,Rejected,84.0,1.0
28.0,Non-Binary,Asia,Arts,nan,0.0,ML Engineer,67221.9,Job Portal,Rejected,,2.0
26.0,Female,South America,Engineering,"SQL, PowerBI",0.0,nan,66558.74,LinkedIn,Accepted,78.0,0.0
22.0,Male,Oceania,Computer Science,nan,0.0,Data Scientist,75604.16,nan,Pending,44.0,1.0
30.0,Prefer Not to Say,nan,Mathematics,"Excel, R",0.0,BI Analyst,73904.37,Company Website,Pending,91.0,
30.0,Non-Binary,nan,Engineering,"SQL, PowerBI",5.0,ML Engineer,74032.58,LinkedIn,nan,99.0,5.0
20.0,Male,South America,Arts,"SQL, PowerBI",,Data Architect,89826.26,Campus Recruitment,nan,99.0,0.0
40.0,Female,South America,Arts,"Python, Tableau",7.0,nan,66881.03,Referral,nan,49.0,2.0
30.0,nan,Europe,nan,"R, Excel",3.0,nan,85843.41,Campus Recruitment,Rejected,84.0,0.0
24.0,nan,Asia,Mathematics,"Excel, R",1.0,ML Engineer,54032.14,Referral,Pending,70.0,4.0
26.0,Non-Binary,Asia,nan,"SQL, PowerBI",5.0,Data Architect,68075.75,Campus Recruitment,Accepted,68.0,4.0
26.0,Male,South America,Mathematics,"R, Excel",0.0,Data Engineer,68994.41,Campus Recruitment,Pending,70.0,5.0
24.0,Prefer Not to Say,Oceania,Arts,"R, Excel",2.0,BI Analyst,50375.83,nan,Accepted,44.0,2.0
,Male,North America,Mathematics,"SQL, PowerBI",2.0,Data Scientist,70675.4,Referral,nan,99.0,3.0
24.0,nan,South America,Business,"Python, Tableau",3.0,ML Engineer,71736.99,LinkedIn,Rejected,78.0,3.0
24.0,Non-Binary,Europe,nan,"Python, SQL",1.0,nan,78960.17,Campus Recruitment,Rejected,44.0,1.0
26.0,Female,South America,nan,"SQL, PowerBI",,BI Analyst,77231.87,Referral,nan,91.0,5.0
32.0,Male,Oceania,Engineering,"Python, Tableau",10.0,ML Engineer,50837.83,Referral,Rejected,43.0,4.0
26.0,nan,Oceania,Computer Science,"Excel, R",1.0,Data Engineer,87939.14,Campus Recruitment,nan,,1.0
40.0,Prefer Not to Say,South America,nan,"Python, Tableau",3.0,BI Analyst,63063.17,LinkedIn,Pending,,2.0
20.0,Non-Binary,Asia,Mathematics,"R, Excel",10.0,Data Analyst,60927.52,Company Website,Accepted,79.0,
35.0,Female,South America,Mathematics,"Excel, R",0.0,nan,77353.88,nan,Rejected,81.0,0.0
32.0,Male,Africa,Business,"Excel, R",,Data Engineer,82765.93,Job Portal,nan,49.0,5.0
22.0,Prefer Not to Say,Africa,Computer Science,"Python, SQL",0.0,Data Scientist,62918.07,Company Website,Accepted,71.0,5.0
35.0,Female,North America,Business,"Python, SQL",,BI Analyst,69334.78,Campus Recruitment,nan,70.0,4.0
20.0,nan,Europe,Computer Science,"SQL, PowerBI",7.0,Data Architect,83667.04,Campus Recruitment,Rejected,70.0,3.0
40.0,nan,Europe,nan,"Python, Tableau",1.0,ML Engineer,56040.5,nan,Accepted,70.0,1.0
40.0,Prefer Not to Say,nan,nan,"SQL, PowerBI",1.0,Data Architect,28021.13,Referral,Rejected,71.0,0.0
22.0,nan,Asia,Engineering,"Python, SQL",1.0,BI Analyst,78066.11,nan,Accepted,49.0,3.0
32.0,Non-Binary,Europe,Mathematics,"R, Excel",10.0,Data Scientist,83725.13,LinkedIn,Accepted,91.0,3.0
,Prefer Not to Say,North America,Engineering,"Python, SQL",0.0,Data Architect,46085.01,nan,nan,53.0,5.0
24.0,nan,Africa,Computer Science,"Python, Tableau",2.0,Data Architect,69696.94,nan,Accepted,70.0,2.0
32.0,Male,Asia,Mathematics,"R, Excel",3.0,Data Architect,62529.39,LinkedIn,Pending,62.0,3.0
,nan,Oceania,nan,"SQL, PowerBI",3.0,nan,71929.44,Campus Recruitment,Rejected,83.0,3.0
40.0,Non-Binary,Africa,Business,"SQL, PowerBI",5.0,BI Analyst,38973.17,LinkedIn,nan,47.0,3.0
26.0,Female,North America,nan,"Python, SQL",5.0,ML Engineer,50990.25,Job Portal,Accepted,68.0,0.0
20.0,Female,Asia,nan,"Python, SQL",2.0,nan,76730.95,nan,Pending,44.0,0.0
22.0,nan,South America,Arts,nan,1.0,Data Architect,68001.7,LinkedIn,Pending,43.0,3.0
20.0,Female,Europe,Business,"SQL, PowerBI",2.0,Data Engineer,92567.74,LinkedIn,Pending,,5.0
28.0,nan,North America,Arts,"SQL, PowerBI",10.0,Data Engineer,78828.24,nan,nan,47.0,2.0
28.0,Non-Binary,Asia,Business,"Excel, R",,ML Engineer,55554.83,Referral,Accepted,71.0,
32.0,Female,Africa,Computer Science,"Python, Tableau",10.0,nan,80791.04,Campus Recruitment,Accepted,78.0,3.0
40.0,Male,Asia,Engineering,"Excel, R",5.0,Data Analyst,95626.45,LinkedIn,Pending,70.0,4.0
40.0,nan,South America,Arts,"Excel, R",7.0,Data Analyst,68915.85,Campus Recruitment,nan,81.0,4.0
24.0,Female,North America,Computer Science,"SQL, PowerBI",,Data Engineer,76042.12,LinkedIn,Rejected,49.0,
24.0,Non-Binary,Asia,Engineering,nan,5.0,Data Architect,82380.72,LinkedIn,Accepted,79.0,1.0
24.0,Non-Binary,Oceania,Engineering,"Python, Tableau",3.0,Data Scientist,67497.68,LinkedIn,Accepted,91.0,4.0
